0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Цех №4,ЛЧ-35-11/600,Н-604Б,770193,Насос центробежный консольный,98101976,80-NET-265-16-OC-05-FE,Уплотнения,Торцевое,Комплект ремонтный,"Комплект ремонтный полный РК-4 для торцевого уплотнения 48 РДУ-Н602А/В, код сбор.специф.971, АО ""ТРЭМ Инжиниринг""",339178,50935429,Утвержден (имеет код SAP),ERSZ,1,ШТ,,27.12.2019,0,48 РДУ-Н602А/В-971,TYPES,"Концевые уплотнения валов, ремонтный комплект (типовые)",1,компл,,+,+,1 компл.,на 10 уплотнений одного типа и кода сборки
Цех №4,ЛЧ-35-11/600,Н-624А,132992,Насос центробежный консольный,02100050,100NED-315-22,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,30.08.2019,12572,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-629Б,132965,Насос центробежный консольный,02100051,100NED-315-22,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,30.09.2019,14232,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-629А,132964,Насос центробежный консольный,02100052,100NED-315-22,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,31.08.2021,3024,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-628Б,132988,Насос центробежный консольный,02100102,200NED-330-32,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.08.2018,9368,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-602Б,770215,Насос центробежный консольный,98101970,70NET-230-14-UC-05FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,29.11.2019,9326,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-602Б,770215,Насос центробежный консольный,98101970,70NET-230-14-UC-05FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6309 (аналог FAG 6309),277097,50843186,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,29.11.2019,9326,Подшипник SKF 6309,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-602А,770195,Насос центробежный консольный,98101969,70NET-230-14-UC-05FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6309 (аналог FAG 6309),277097,50843186,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,30.11.2020,9482,Подшипник SKF 6309,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-630А,132995,Насос центробежный консольный,02100023,100NEA-305-16,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6310 (аналог FAG 6310),277075,50843197,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,01.01.2010,16030,Подшипник SKF 6310,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-630Б,132996,Насос центробежный консольный,02100022,100NEA-305-16,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6310 (аналог FAG 6310),277075,50843197,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,01.01.2010,17714,Подшипник SKF 6310,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-604Б,770193,Насос центробежный консольный,98101976,80-NET-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6409 (аналог FAG 6409),303592,50843244,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,27.12.2019,0,Подшипник SKF 6409,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-604А,770214,Насос центробежный консольный,98101975,80-NET-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6409 (аналог FAG 6409),303592,50843244,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,27.12.2019,0,Подшипник SKF 6409,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-614А,132961,Насос центробежный консольный,02100021,80-NEA-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиальный шариковый подшипник,Подшипник SKF 6409 (аналог FAG 6409),303592,50843244,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,01.02.2017,26971,Подшипник SKF 6409,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-602А,770195,Насос центробежный консольный,98101969,70NET-230-14-UC-05FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7312 BECBM (аналог FAG 7312-B-MP-UA),303600,50843294,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,30.11.2020,9482,Подшипник SKF 7312,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-630А,132995,Насос центробежный консольный,02100023,100NEA-305-16,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7313 BECBM (аналог FAG 7313-B-MP-UA),303738,50843296,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.01.2010,16030,Подшипник SKF 7313,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-630Б,132996,Насос центробежный консольный,02100022,100NEA-305-16,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7313 BECBM (аналог FAG 7313-B-MP-UA),303738,50843296,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.01.2010,17714,Подшипник SKF 7313,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-604А,770214,Насос центробежный консольный,98101975,80-NET-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7412 BCBM (аналог FAG 7412-B-MP-UA),303749,50843325,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,27.12.2019,0,Подшипник SKF 7412 BCBM,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-617А,133030,Насос центробежный вертикальный,G 202172/01,2WUJ-3,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7412 BCBM (аналог FAG 7412-B-MP-UA),303749,50843325,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,17.06.2013,1395,Подшипник SKF 7412 BCBM,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-614А,132961,Насос центробежный консольный,02100021,80-NEA-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7412 BCBM (аналог FAG 7412-B-MP-UA),303749,50843325,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,01.02.2017,26971,Подшипник SKF 7412 BCBM,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-614Б,132962,Насос центробежный консольный,02100020,80-NEA-265-16-OC-05-FE,Подшипники,Подшипники качения,Радиально-упорный шариковый подшипник,Подшипник SKF 7412 BCBM/C3 (аналог FAG 7412-B-MP-UA),303750,50843326,Утвержден (имеет код SAP),ERSZ,2,ШТ,SKF,28.12.2020,5822,Подшипник SKF 7412 BCBM/C3,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-607А,169592,Насос центробежный консольный,09100042,40-NQD-200-6-S5-FE,Подшипники,Подшипники качения,Подшипник радиальный роликовый,Подшипник SKF NU 308 ECM (аналог FAG NU308-E-M1),543485,50843415,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,31.01.2020,23278,Подшипник SKF NU 308 ECM,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-624А,132992,Насос центробежный консольный,02100050,100NED-315-22,Подшипники,Подшипники качения,Подшипник радиальный роликовый,Подшипник SKF NU 312 ECJ (аналог FAG NU312-E-JP3),322408,50843429,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,30.08.2019,12572,Подшипник SKF NU 312 ECJ,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-629Б,132965,Насос центробежный консольный,02100051,100NED-315-22,Подшипники,Подшипники качения,Подшипник радиальный роликовый,Подшипник SKF NU 312 ECJ (аналог FAG NU312-E-JP3),322408,50843429,Утвержден (имеет код SAP),ERSZ,1,ШТ,SKF,30.09.2019,14232,Подшипник SKF NU 312 ECJ,TYPES,Подшипники качения (типовые),1,компл,,+,+,10%,Неснижаемый остаток
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Привод,Червячная передача,Колесо червячное,"Колесо червяка, черт. № АРТ 40.2-00-004 ПС, поз. 31, рис.3, иден.№ АР30-02-003, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771292,51481968,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Зубчатая передача,1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-624А,132992,Насос центробежный консольный,02100050,100NED-315-22,Уплотнения,Торцевое,Комплект ремонтный,"Комплект ремонтный полный РК-4 для торцевого уплотнения 70 CД-Н624, код сбор.специф.973, АО ""ТРЭМ Инжиниринг""",339196,50935571,Утвержден (имеет код SAP),ERSZ,1,ШТ,,30.08.2019,12572,70 CД-Н624-973,TYPES,"Концевые уплотнения валов, ремонтный комплект (типовые)",1,компл,,+,+,1 компл.,на 10 уплотнений одного типа и кода сборки
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Привод,КШМ в сборе,Кривошип,"Водило, черт. № АРТ 40.2-00-004 ПС, поз. 18, рис.3, иден.№ АР40.2-02-048, насосы НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771295,51481836,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Узел регулирования хода поршня,1,компл,,ПС,ПС,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-607А,169592,Насос центробежный консольный,09100042,40-NQD-200-6-S5-FE,Уплотнения,Торцевое,Комплект ремонтный,"Комплект ремонтный полный РК-4 для торцевого уплотнения RDT2-0400-NQD, АО ""ТРЭМ Инжиниринг""",526540,50938291,Утвержден (имеет код SAP),ERSZ,1,КОМПЛ,,31.01.2020,23278,РДТ2-0400-NQD,TYPES,"Концевые уплотнения валов, ремонтный комплект (типовые)",1,компл,,+,+,1 компл.,на 10 уплотнений одного типа и кода сборки
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Подшипники,Подшипники качения,Втулка дистанционная,"Втулка, черт. № АРТ 40.2-00-004 ПС, поз. 13, рис.3, иден.№ АР40.2-02-043, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771297,51482009,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Коренные подшипники,1,компл,,ПС,ПС,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Элемент монтажа,Элементы стопорящие,Штифт,"Ролик, черт. № АРТ 40.2-00-004 ПС, поз. 21, рис.3, иден.№ АР40.2-02-052, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771298,51481837,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,,,,шт,,,,,
Цех №4,ЛЧ-35-11/600,Н-630Б,132996,Насос центробежный консольный,02100022,100NEA-305-16,Уплотнения,Торцевое,,"Уплотнение торцевое в сборе, черт. № CARTEX-DE/65-A2, насос 100-NEA-305-16, BURGMANN (Германия)",327418,50938446,Утвержден (имеет код SAP),ERSZ,1,ШТ,BURGMANN (Германия),01.01.2010,17714,,MARK,Концевые уплотнения валов (уникальные),1,компл,,ПС,ПС,1 компл.,на 3 единицы однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-608Б,132966,Насос центробежный консольный,02100054,A-40-NEG-250-10-OC-FE,Уплотнения,Торцевое,,"Уплотнение торцевое в сборе, черт. № CARTEX-DE/48-A2, насос A-40-NEG-250-10-OC-05, BURGMANN (Германия)",327415,50938445,Утвержден (имеет код SAP),ERSZ,1,ШТ,BURGMANN (Германия),17.02.2016,23708,,,,,шт,,,,,
Цех №4,ЛЧ-35-11/600,Н-628Б,132988,Насос центробежный консольный,02100102,200NED-330-32,Уплотнения,Торцевое,Уплотнение двойное торцевое в сборе,"Уплотнение торцевое в сборе, черт. № MFLWT 90/80-FTA3, насос 100NED-315-22, 200NED-330-32, BURGMANN (Германия)",327417,50938465,Утвержден (имеет код SAP),ERSZ,1,ШТ,BURGMANN (Германия),10.03.2015,25981,,MARK,Концевые уплотнения валов (уникальные),1,компл,,ПС,ПС,1 компл.,на 3 единицы однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-629Б,132965,Насос центробежный консольный,02100051,100NED-315-22,Уплотнения,Торцевое,Уплотнение двойное торцевое в сборе,"Уплотнение торцевое в сборе, черт. № MFLWT 90/80-FTA3, насос 100NED-315-22, 200NED-330-32, BURGMANN (Германия)",327417,50938465,Утвержден (имеет код SAP),ERSZ,1,ШТ,BURGMANN (Германия),01.09.2015,29157,,,,,шт,,,,,
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Привод,КШМ в сборе,Втулка шатуна эксцентриковая,"Эксцентрик, черт. № АРТ 40.2-00-004 ПС, поз. 8, рис.3, иден.№ АР30-02-027, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771301,51481838,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Узел регулирования хода поршня,1,компл,,ПС,ПС,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Крейцкопф,Палец,,"Палец, черт. № АРТ 40.2-00-004 ПС, поз. 4, рис.3, иден.№ АР30-02-004, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771303,51481904,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Крейцкопф (ползун),,компл,,,,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Крейцкопф,Втулка крейцкопфа,,"Втулка, черт. № АРТ 40.2-00-004 ПС, поз. 12, рис.3, иден.№ АР30.1-02-006, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771304,51482030,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Крейцкопф (ползун),,компл,,,,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-631,183236,Насос поршневой,683,"НД 1.0Р 2,5/100К13В",Крейцкопф,Втулка крейцкопфа,,"Втулка, черт. № АРТ 40.2-00-004 ПС, поз. 32, рис.3, иден.№ АР30-02-052, насос НД 1.0Р 2,5/100К13В, ООО ""ЗДТ ""Ареопаг""",771305,51482031,Утвержден (имеет код SAP),ERSZ,1,ШТ,"ООО ""ЗДТ ""Ареопаг""",31.12.2014,32449,,MARK,Крейцкопф (ползун),,компл,,,,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-613А,187250,Насос поршневой,27,НД8П5000/32К14В-УХЛ2,Поршень/плунжер,Плунжер в сборе,,"Плунжер, черт. № НД8П5000/32.00.00.000РЭ, поз. 1, рис. 3, иден.№ НД8П5000/32.04.01.000-02, насос НД8П5000/32К14В-УХЛ2, Саратов ""Нефтемаш"" - САПКОН",771266,51481963,Утвержден (имеет код SAP),ERSZ,1,ШТ,"Саратов ""Нефтемаш"" - САПКОН",01.06.2017,118,,MARK,Плунжер (поршень),1,компл,,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-613А,187250,Насос поршневой,27,НД8П5000/32К14В-УХЛ2,Клапан,Клапан прямого действия,,"Клапан нагнетательный, черт. № НД8П5000/32.00.00.000РЭ, поз. 4, рис.3, иден.№ НД8П5000/32.05.11.000-02, насос НД8П5000/32К14В-УХЛ2, Саратов ""Нефтемаш"" - САПКОН",771284,51482041,Утвержден (имеет код SAP),ERSZ,1,ШТ,"Саратов ""Нефтемаш"" - САПКОН",01.06.2017,118,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-613А,187250,Насос поршневой,27,НД8П5000/32К14В-УХЛ2,Клапан,Клапан прямого действия,,"Клапан всасывающий, черт. № НД8П5000/32.00.00.000РЭ, поз. 3, рис.3, иден.№ НД8П5000/32.05.12.000-02, насос НД8П5000/32К14В-УХЛ2, Саратов ""Нефтемаш"" - САПКОН",771285,51482042,Утвержден (имеет код SAP),ERSZ,1,ШТ,"Саратов ""Нефтемаш"" - САПКОН",01.06.2017,118,,MARK,"Клапан всасывающий, клапан нагнетательный",1,компл,ПС,ПС,+,1 компл.,на группу однотипного оборудования
Цех №4,ЛЧ-35-11/600,Н-613А,187250,Насос поршневой,27,НД8П5000/32К14В-УХЛ2,Клапан,Клапан прямого действия,Прокладка,"Прокладка, черт. № НД8П5000/32.00.00.000РЭ, поз. 11, рис.3, иден.№ 901.70.60, насос НД8П5000/32К14В-УХЛ2, Саратов ""Нефтемаш"" - САПКОН",771279,51481973,Утвержден (имеет код SAP),ERSZ,11,ШТ,"Саратов ""Нефтемаш"" - САПКОН",01.06.2017,118,,,,,шт,,,,,
